[15-Apr-2018 17:23:34 UTC] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 66
[15-Apr-2018 17:23:34 UTC] PHP Warning:  unlink(./tmp/phpImd1XO.html): No such file or directory in /home/ubuntu/workspace/input/upload.php on line 67
[15-Apr-2018 17:23:50 UTC] PHP Notice:  Undefined variable: extension in /home/ubuntu/workspace/input/upload.php on line 55
[15-Apr-2018 17:28:06 UTC] PHP Warning:  fopen(.input/tmp/phpT5JXr2.html): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 58
[15-Apr-2018 17:28:06 UTC] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 64
[15-Apr-2018 17:28:06 UTC] PHP Warning:  unlink(.input/tmp/phpT5JXr2.html): No such file or directory in /home/ubuntu/workspace/input/upload.php on line 65
[15-Apr-2018 17:28:06 UTC] PHP Warning:  rename(/tmp/php_prepend_asy2tE,.input/tmp/phpT5JXr2.html): No such file or directory in /home/ubuntu/workspace/input/upload.php on line 66
[15-Apr-2018 17:28:06 UTC] PHP Warning:  move_uploaded_file(.input/tmp/phpT5JXr2.html): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 30
[15-Apr-2018 17:28:06 UTC] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpT5JXr2' to '.input/tmp/phpT5JXr2.html' in /home/ubuntu/workspace/input/upload.php on line 30
[15-Apr-2018 17:28:59 UTC] PHP Warning:  fopen(./input/tmp/phpyitDcq.html): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 51
[15-Apr-2018 17:28:59 UTC] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 57
[15-Apr-2018 17:28:59 UTC] PHP Warning:  unlink(./input/tmp/phpyitDcq.html): No such file or directory in /home/ubuntu/workspace/input/upload.php on line 58
[15-Apr-2018 17:28:59 UTC] PHP Warning:  rename(/tmp/php_prepend_kGaVVb,./input/tmp/phpyitDcq.html): No such file or directory in /home/ubuntu/workspace/input/upload.php on line 59
[15-Apr-2018 17:28:59 UTC] PHP Warning:  move_uploaded_file(./input/tmp/phpyitDcq.html): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 24
[15-Apr-2018 17:28:59 UTC] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpyitDcq' to './input/tmp/phpyitDcq.html' in /home/ubuntu/workspace/input/upload.php on line 24
[15-Apr-2018 17:30:18 UTC] PHP Warning:  move_uploaded_file(./input/tmp/phpn5YU6c.html): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 22
[15-Apr-2018 17:30:18 UTC] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpn5YU6c' to './input/tmp/phpn5YU6c.html' in /home/ubuntu/workspace/input/upload.php on line 22
[15-Apr-2018 17:34:12 UTC] PHP Fatal error:  Undefined constant 'n' in /home/ubuntu/workspace/input/upload.php on line 23
